personnel_id,service_number,name,rank,is_jawan_rank,unit_id,region_type,posting_type,date_of_birth,date_of_joining,years_of_service,current_posting_start_date,family_separated,unit_operational_tempo,exposure_propensity,benign_profile
P00018,48435246,Personnel 0018,Constable,True,U003,urban_static,static_station,2003-02-25,2024-05-21,2.28,2024-08-25,False,0.3722,0.7582,
P00019,87302818,Personnel 0019,Head Constable,True,U009,training,field,1993-11-07,2019-12-13,6.72,2023-07-28,False,0.3855,0.3527,
P00020,56334664,Personnel 0020,Sub-Inspector,False,U012,insurgency_affected,field,1994-11-12,2020-11-03,5.82,2024-05-01,False,0.7195,0.6556,
P00021,77756364,Personnel 0021,Constable,True,U015,insurgency_affected,hard_area,1993-04-18,2019-03-27,7.43,2026-04-10,True,0.8363,0.3138,
P00022,35142096,Personnel 0022,Constable,True,U007,training,static_station,1989-08-20,2015-10-27,10.85,2025-03-14,True,0.2532,0.6476,
P00023,15597908,Personnel 0023,Inspector,False,U014,urban_static,hard_area,1996-11-10,2019-07-21,7.11,2023-06-05,False,0.3566,0.5054,
P00024,64335931,Personnel 0024,Constable,True,U010,insurgency_affected,hard_area,2003-05-03,2024-05-14,2.3,2025-03-01,True,0.8355,0.6336,
P00025,99083209,Personnel 0025,Constable,True,U014,urban_static,static_station,1987-02-17,2013-12-05,12.74,2023-10-19,True,0.3566,0.8011,
P00026,82146009,Personnel 0026,Assistant Sub-Inspector,True,U016,border,field,1996-09-15,2018-03-22,8.45,2025-10-16,True,0.7134,0.4278,
P00027,10602417,Personnel 0027,Assistant Commandant,False,U011,border,hard_area,1998-01-18,2023-10-22,2.86,2024-03-06,False,0.6385,0.4582,
P00028,98046165,Personnel 0028,Constable,True,U010,insurgency_affected,hard_area,1993-12-06,2020-05-02,6.33,2025-04-10,True,0.8355,0.5269,
P00029,18920460,Personnel 0029,Assistant Sub-Inspector,True,U009,training,static_station,1988-05-20,2013-11-09,12.81,2024-08-01,True,0.3855,0.4536,
P00030,26322673,Personnel 0030,Constable,True,U016,border,static_station,2001-01-20,2023-12-30,2.67,2026-03-07,False,0.7134,0.6934,
P00031,89115708,Personnel 0031,Constable,True,U006,border,hard_area,1993-10-18,2016-08-10,10.06,2024-10-04,True,0.6739,0.4387,
P00032,79382238,Personnel 0032,Assistant Commandant,False,U006,border,hard_area,1991-02-04,2016-09-01,10.0,2025-08-02,True,0.6739,0.7093,
P00033,22226898,Personnel 0033,Constable,True,U014,urban_static,field,1997-05-01,2023-06-29,3.17,2025-09-26,False,0.3566,0.4306,
P00034,39242204,Personnel 0034,Sub-Inspector,False,U012,insurgency_affected,hard_area,1996-11-02,2021-07-29,5.09,2024-12-06,True,0.7195,0.6503,
P00035,32126508,Personnel 0035,Sub-Inspector,False,U002,insurgency_affected,hard_area,1999-06-03,2022-11-24,3.77,2026-04-08,False,0.782,0.5875,
P00036,52300245,Personnel 0036,Constable,True,U014,urban_static,hard_area,1990-04-12,2012-12-12,13.72,2024-07-05,False,0.3566,0.6246,
P00037,46931113,Personnel 0037,Assistant Sub-Inspector,True,U003,urban_static,field,2003-03-22,2025-03-19,1.45,2025-09-08,False,0.3722,0.6983,
P00038,26240551,Personnel 0038,Head Constable,True,U016,border,field,1995-04-08,2018-03-16,8.46,2024-02-07,False,0.7134,0.4453,
P00039,34306649,Personnel 0039,Assistant Sub-Inspector,True,U004,urban_static,field,1990-01-27,2016-12-14,9.71,2023-07-11,True,0.4395,0.4199,
P00040,54651444,Personnel 0040,Constable,True,U012,insurgency_affected,hard_area,1998-06-11,2024-02-15,2.54,2025-01-23,True,0.7195,0.4026,
P00041,46478839,Personnel 0041,Constable,True,U001,urban_static,static_station,1987-01-29,2011-11-30,14.75,2023-12-18,True,0.5535,0.6418,
P00042,16619374,Personnel 0042,Constable,True,U015,insurgency_affected,hard_area,1995-01-23,2020-07-25,6.1,2024-12-04,False,0.8363,0.4651,
P00043,36647638,Personnel 0043,Constable,True,U010,insurgency_affected,hard_area,1999-10-14,2022-04-24,4.35,2024-12-18,False,0.8355,0.5633,
P00044,37878902,Personnel 0044,Constable,True,U003,urban_static,field,1998-03-26,2019-05-28,7.26,2025-03-20,False,0.3722,0.7341,
P00045,61155034,Personnel 0045,Head Constable,True,U003,urban_static,static_station,1998-01-18,2019-06-15,7.21,2024-09-22,False,0.3722,0.4327,
P00046,56236212,Personnel 0046,Assistant Commandant,False,U007,training,static_station,1990-10-29,2012-09-08,13.98,2026-07-29,False,0.2532,0.5911,
P00047,84795700,Personnel 0047,Deputy Commandant,False,U012,insurgency_affected,hard_area,1991-11-20,2015-04-01,11.42,2025-04-11,True,0.7195,0.646,
P00048,32132647,Personnel 0048,Constable,True,U016,border,hard_area,1995-03-31,2021-09-28,4.92,2024-02-16,True,0.7134,0.4172,
P00049,11698798,Personnel 0049,Sub-Inspector,False,U003,urban_static,static_station,1989-07-12,2014-06-08,12.23,2026-04-12,True,0.3722,0.4894,
P00050,46399989,Personnel 0050,Constable,True,U013,border,hard_area,1997-05-12,2021-04-21,5.36,2025-11-10,False,0.5538,0.2863,
P00051,41134698,Personnel 0051,Constable,True,U001,urban_static,field,1991-10-26,2015-12-27,10.68,2024-03-02,False,0.5535,0.5337,
P00052,89811964,Personnel 0052,Constable,True,U016,border,hard_area,1991-03-01,2017-08-11,9.06,2025-01-09,True,0.7134,0.6527,
P00053,50013200,Personnel 0053,Assistant Commandant,False,U011,border,field,1987-05-24,2009-07-06,17.16,2025-10-31,False,0.6385,0.5299,
P00054,69941807,Personnel 0054,Constable,True,U009,training,static_station,2000-10-26,2021-11-22,4.77,2023-09-13,True,0.3855,0.3551,
P00055,66837102,Personnel 0055,Constable,True,U015,insurgency_affected,hard_area,1991-06-01,2016-09-28,9.92,2025-11-10,True,0.8363,0.636,
P00056,11763285,Personnel 0056,Assistant Sub-Inspector,True,U004,urban_static,field,1996-05-06,2020-03-11,6.47,2024-07-19,False,0.4395,0.3779,
P00057,22595543,Personnel 0057,Inspector,False,U012,insurgency_affected,hard_area,1996-11-15,2021-08-24,5.02,2024-05-01,True,0.7195,0.5524,
P00058,87880690,Personnel 0058,Head Constable,True,U013,border,field,1994-10-20,2017-11-08,8.81,2023-07-03,True,0.5538,0.3984,
P00059,48897871,Personnel 0059,Assistant Sub-Inspector,True,U009,training,static_station,2000-01-30,2022-06-03,4.25,2026-06-01,True,0.3855,0.3461,
P00060,49047347,Personnel 0060,Constable,True,U012,insurgency_affected,hard_area,1990-03-23,2016-02-18,10.53,2025-07-07,False,0.7195,0.5783,
P00061,81161617,Personnel 0061,Constable,True,U016,border,field,2002-03-08,2023-05-15,3.3,2024-04-11,False,0.7134,0.6118,
P00062,40549388,Personnel 0062,Commandant,False,U005,border,field,1988-06-09,2009-11-07,16.81,2026-06-14,True,0.7572,0.351,
P00063,80868417,Personnel 0063,Constable,True,U015,insurgency_affected,field,1992-12-22,2016-03-09,10.48,2025-12-03,False,0.8363,0.7636,
P00064,15647203,Personnel 0064,Constable,True,U004,urban_static,static_station,1988-01-13,2013-08-17,13.04,2024-11-13,True,0.4395,0.4961,
P00065,78104071,Personnel 0065,Constable,True,U016,border,field,1999-10-23,2024-04-25,2.35,2024-09-28,True,0.7134,0.4189,
P00066,60611201,Personnel 0066,Constable,True,U003,urban_static,static_station,1995-01-12,2017-07-18,9.12,2024-10-29,True,0.3722,0.4743,
P00067,31335406,Personnel 0067,Deputy Commandant,False,U010,insurgency_affected,hard_area,2002-04-16,2025-03-24,1.44,2026-03-02,True,0.8355,0.3649,
P00068,15267263,Personnel 0068,Assistant Sub-Inspector,True,U014,urban_static,static_station,2002-08-09,2023-12-27,2.68,2026-06-17,True,0.3566,0.3708,
P00069,70844803,Personnel 0069,Constable,True,U001,urban_static,field,1981-09-25,2005-08-13,21.05,2026-07-21,True,0.5535,0.2355,
P00070,12800149,Personnel 0070,Head Constable,True,U006,border,static_station,1995-03-27,2021-03-19,5.45,2025-08-03,False,0.6739,0.6328,
P00071,66234211,Personnel 0071,Head Constable,True,U010,insurgency_affected,hard_area,1980-12-18,2007-07-13,19.14,2025-04-29,True,0.8355,0.5738,
P00072,26147119,Personnel 0072,Sub-Inspector,False,U010,insurgency_affected,hard_area,1999-04-13,2023-10-30,2.84,2026-04-11,True,0.8355,0.6307,
P00073,70200076,Personnel 0073,Head Constable,True,U016,border,field,2001-10-19,2023-12-30,2.67,2025-07-09,False,0.7134,0.5251,
P00074,33635531,Personnel 0074,Constable,True,U005,border,field,1998-10-11,2024-08-08,2.06,2025-05-16,True,0.7572,0.4808,
P00075,38317559,Personnel 0075,Constable,True,U015,insurgency_affected,hard_area,1992-07-06,2014-10-26,11.85,2023-06-02,False,0.8363,0.2603,
P00076,17033621,Personnel 0076,Sub-Inspector,False,U007,training,static_station,1992-07-05,2017-03-26,9.43,2026-01-14,False,0.2532,0.5644,
P00077,99930023,Personnel 0077,Constable,True,U002,insurgency_affected,hard_area,1997-02-02,2020-12-30,5.67,2023-09-03,True,0.782,0.4311,
P00078,25972691,Personnel 0078,Constable,True,U005,border,hard_area,1999-02-28,2022-09-06,3.98,2023-11-23,True,0.7572,0.4726,
P00079,92506964,Personnel 0079,Deputy Commandant,False,U015,insurgency_affected,hard_area,1986-09-20,2012-08-30,14.0,2025-03-04,False,0.8363,0.6336,
P00080,96288294,Personnel 0080,Constable,True,U016,border,hard_area,1995-04-15,2019-12-15,6.71,2023-08-27,False,0.7134,0.5088,
P00081,86805013,Personnel 0081,Deputy Commandant,False,U015,insurgency_affected,hard_area,1995-11-09,2022-03-28,4.43,2023-06-19,True,0.8363,0.8378,
P00082,63052066,Personnel 0082,Sub-Inspector,False,U003,urban_static,static_station,1993-07-07,2018-05-25,8.27,2023-05-15,True,0.3722,0.5013,
P00083,99050180,Personnel 0083,Constable,True,U006,border,hard_area,1996-02-12,2022-06-02,4.25,2025-04-24,False,0.6739,0.4345,
P00084,59713599,Personnel 0084,Head Constable,True,U003,urban_static,static_station,1988-02-23,2014-03-18,12.46,2023-10-04,False,0.3722,0.3583,
P00085,41780752,Personnel 0085,Sub-Inspector,False,U014,urban_static,static_station,1994-04-23,2018-09-29,7.92,2023-12-03,False,0.3566,0.2541,training_cadre
P00086,60745328,Personnel 0086,Inspector,False,U005,border,field,2003-08-17,2025-06-21,1.19,2025-09-28,True,0.7572,0.5026,
P00087,83610256,Personnel 0087,Assistant Sub-Inspector,True,U008,border,hard_area,1997-10-09,2023-03-19,3.45,2024-11-23,True,0.5738,0.6307,
P00088,79666921,Personnel 0088,Assistant Sub-Inspector,True,U010,insurgency_affected,hard_area,1998-11-10,2020-10-20,5.86,2024-12-19,True,0.8355,0.1937,
P00089,76475859,Personnel 0089,Assistant Sub-Inspector,True,U014,urban_static,static_station,2003-08-26,2025-11-29,0.75,2025-12-29,False,0.3566,0.6456,
P00090,92142958,Personnel 0090,Constable,True,U015,insurgency_affected,field,1999-07-13,2022-12-09,3.73,2025-06-02,True,0.8363,0.3022,
P00091,30922687,Personnel 0091,Deputy Commandant,False,U009,training,static_station,1996-03-21,2022-11-30,3.75,2023-06-15,False,0.3855,0.0495,
P00092,90102513,Personnel 0092,Constable,True,U006,border,field,1993-10-29,2016-01-31,10.58,2024-04-22,True,0.6739,0.6182,
P00093,82969126,Personnel 0093,Assistant Sub-Inspector,True,U010,insurgency_affected,hard_area,1998-08-17,2021-05-21,5.28,2023-03-03,True,0.8355,0.2275,
P00094,58469450,Personnel 0094,Head Constable,True,U004,urban_static,field,1996-02-24,2017-07-18,9.12,2025-04-18,True,0.4395,0.5686,
P00095,31016266,Personnel 0095,Constable,True,U002,insurgency_affected,field,2002-10-17,2025-08-27,1.01,2025-09-27,False,0.782,0.5435,
P00096,83073122,Personnel 0096,Constable,True,U016,border,static_station,1988-06-25,2012-12-14,13.71,2024-01-01,True,0.7134,0.3977,
P00097,17397639,Personnel 0097,Assistant Sub-Inspector,True,U005,border,hard_area,1978-07-15,2003-09-14,22.97,2024-09-27,True,0.7572,0.5129,
P00098,46228892,Personnel 0098,Head Constable,True,U015,insurgency_affected,hard_area,1997-02-14,2019-04-04,7.41,2025-05-07,True,0.8363,0.6927,
P00099,59751966,Personnel 0099,Sub-Inspector,False,U012,insurgency_affected,hard_area,1983-06-16,2007-12-25,18.68,2025-10-12,False,0.7195,0.6034,
P00100,85251043,Personnel 0100,Assistant Commandant,False,U007,training,field,1997-12-05,2020-08-03,6.08,2024-01-30,True,0.2532,0.6481,
P00101,11197241,Personnel 0101,Sub-Inspector,False,U002,insurgency_affected,hard_area,1995-11-25,2017-06-05,9.24,2025-10-15,True,0.782,0.6566,
P00102,44631472,Personnel 0102,Constable,True,U003,urban_static,static_station,1990-11-24,2014-08-19,12.03,2026-07-03,False,0.3722,0.518,
P00103,77362834,Personnel 0103,Head Constable,True,U010,insurgency_affected,hard_area,1988-10-31,2012-07-28,14.09,2025-09-24,False,0.8355,0.3452,
P00104,15255481,Personnel 0104,Constable,True,U015,insurgency_affected,field,1995-07-31,2018-08-22,8.03,2023-11-11,False,0.8363,0.7054,
P00105,29506911,Personnel 0105,Inspector,False,U002,insurgency_affected,hard_area,1989-08-18,2013-11-29,12.75,2023-01-19,True,0.782,0.3089,
P00106,72949788,Personnel 0106,Inspector,False,U004,urban_static,static_station,1984-08-21,2009-09-02,17.0,2025-02-04,True,0.4395,0.4863,
P00107,32800586,Personnel 0107,Constable,True,U008,border,hard_area,2001-12-13,2025-04-15,1.38,2025-05-15,True,0.5738,0.5129,
P00108,69898803,Personnel 0108,Constable,True,U002,insurgency_affected,hard_area,2001-07-08,2024-08-25,2.02,2024-12-22,True,0.782,0.6282,
P00109,74080869,Personnel 0109,Head Constable,True,U013,border,static_station,1998-03-05,2021-02-28,5.51,2026-02-27,False,0.5538,0.456,
P00110,21989691,Personnel 0110,Constable,True,U015,insurgency_affected,hard_area,2000-03-12,2024-07-29,2.09,2026-05-10,True,0.8363,0.2364,
P00111,70698102,Personnel 0111,Inspector,False,U013,border,field,1995-02-09,2020-12-06,5.73,2026-06-28,False,0.5538,0.557,
P00112,14352938,Personnel 0112,Sub-Inspector,False,U015,insurgency_affected,field,1990-01-11,2015-04-01,11.42,2025-03-04,False,0.8363,0.5154,
P00113,13314963,Personnel 0113,Constable,True,U006,border,hard_area,1996-04-14,2020-05-04,6.33,2024-07-16,True,0.6739,0.426,
P00114,92571605,Personnel 0114,Constable,True,U005,border,field,1994-05-04,2018-11-16,7.79,2025-03-08,False,0.7572,0.5716,
P00115,50832690,Personnel 0115,Constable,True,U007,training,static_station,2000-10-16,2023-05-23,3.28,2025-03-31,True,0.2532,0.3272,
P00116,15916476,Personnel 0116,Assistant Sub-Inspector,True,U011,border,static_station,1992-11-16,2017-08-21,9.03,2024-04-05,False,0.6385,0.02,
P00117,20831153,Personnel 0117,Assistant Commandant,False,U003,urban_static,hard_area,1993-06-08,2020-01-31,6.58,2025-04-04,True,0.3722,0.3617,
P00118,16185411,Personnel 0118,Constable,True,U001,urban_static,static_station,1993-03-28,2018-12-06,7.74,2024-03-04,False,0.5535,0.7165,
P00119,20844286,Personnel 0119,Assistant Commandant,False,U011,border,field,1976-02-15,2002-03-16,24.46,2024-07-22,False,0.6385,0.5648,
P00120,52854564,Personnel 0120,Head Constable,True,U009,training,static_station,1995-05-27,2018-01-21,8.61,2025-03-31,False,0.3855,0.8084,course_attendee
P00121,69148675,Personnel 0121,Constable,True,U015,insurgency_affected,hard_area,1992-11-04,2019-05-08,7.32,2026-04-14,True,0.8363,0.3387,
P00122,59753926,Personnel 0122,Inspector,False,U008,border,field,1996-04-27,2018-08-20,8.03,2024-01-28,False,0.5738,0.1987,
P00123,68979994,Personnel 0123,Constable,True,U013,border,field,2002-08-31,2025-03-08,1.48,2025-04-07,False,0.5538,0.5729,
P00124,39686883,Personnel 0124,Inspector,False,U010,insurgency_affected,hard_area,1993-03-09,2019-05-10,7.31,2023-07-19,True,0.8355,0.9557,
P00125,60843125,Personnel 0125,Sub-Inspector,False,U004,urban_static,field,1989-04-19,2016-03-19,10.45,2026-05-14,False,0.4395,0.6111,
P00126,65678440,Personnel 0126,Head Constable,True,U002,insurgency_affected,hard_area,1982-03-02,2006-07-12,20.14,2024-12-19,True,0.782,0.6879,
P00127,72346765,Personnel 0127,Head Constable,True,U005,border,hard_area,1994-08-17,2019-05-03,7.33,2025-03-18,True,0.7572,0.5273,
P00128,18555293,Personnel 0128,Constable,True,U016,border,hard_area,1991-04-02,2014-05-14,12.3,2024-09-29,False,0.7134,0.8246,
P00129,12010448,Personnel 0129,Constable,True,U006,border,field,1997-08-22,2020-05-27,6.26,2025-07-12,False,0.6739,0.2803,
P00130,82305838,Personnel 0130,Constable,True,U008,border,field,1986-07-25,2010-03-09,16.48,2025-05-21,False,0.5738,0.3572,
P00131,36710173,Personnel 0131,Head Constable,True,U016,border,field,1991-12-12,2017-02-18,9.53,2026-05-02,True,0.7134,0.4401,
P00132,49202653,Personnel 0132,Constable,True,U008,border,field,1993-01-05,2018-05-09,8.31,2026-03-12,False,0.5738,0.5083,
P00133,42757959,Personnel 0133,Sub-Inspector,False,U009,training,static_station,1993-06-06,2018-03-27,8.43,2025-10-30,False,0.3855,0.02,
P00134,62644221,Personnel 0134,Head Constable,True,U006,border,hard_area,1999-02-14,2024-07-25,2.1,2025-06-28,True,0.6739,0.2197,
P00135,29025745,Personnel 0135,Constable,True,U006,border,field,1993-06-19,2018-11-19,7.78,2024-12-06,True,0.6739,0.6718,
P00136,15692514,Personnel 0136,Head Constable,True,U009,training,field,1988-10-16,2011-01-28,15.59,2025-12-31,False,0.3855,0.6572,
P00137,90861640,Personnel 0137,Constable,True,U016,border,field,2000-01-15,2023-01-23,3.6,2023-11-08,True,0.7134,0.6958,
P00138,19425140,Personnel 0138,Head Constable,True,U003,urban_static,field,1997-02-10,2018-10-18,7.87,2025-12-17,False,0.3722,0.3229,
P00139,23545508,Personnel 0139,Constable,True,U008,border,static_station,1992-03-21,2017-04-14,9.38,2025-04-09,True,0.5738,0.812,
P00140,54053693,Personnel 0140,Constable,True,U001,urban_static,static_station,1996-08-03,2018-05-23,8.28,2023-11-27,False,0.5535,0.5933,
P00141,49544192,Personnel 0141,Head Constable,True,U016,border,hard_area,1988-09-13,2010-04-19,16.37,2026-07-30,True,0.7134,0.3332,
P00142,25832123,Personnel 0142,Sub-Inspector,False,U001,urban_static,field,1987-04-26,2013-12-07,12.73,2023-10-30,True,0.5535,0.4117,
P00143,36198090,Personnel 0143,Constable,True,U013,border,field,1999-05-15,2023-10-29,2.84,2024-05-26,False,0.5538,0.3564,
P00144,15088208,Personnel 0144,Constable,True,U001,urban_static,static_station,1997-10-11,2020-09-09,5.97,2026-06-07,False,0.5535,0.3838,
P00145,24473267,Personnel 0145,Assistant Sub-Inspector,True,U010,insurgency_affected,hard_area,1984-01-06,2007-09-11,18.97,2024-12-29,True,0.8355,0.7658,
P00146,96794682,Personnel 0146,Constable,True,U003,urban_static,field,1996-04-03,2018-08-18,8.04,2024-04-15,False,0.3722,0.5407,
P00147,23097906,Personnel 0147,Head Constable,True,U011,border,field,1995-06-21,2020-04-23,6.36,2025-06-06,True,0.6385,0.2758,
P00148,44861081,Personnel 0148,Inspector,False,U012,insurgency_affected,hard_area,2001-06-14,2023-11-09,2.81,2024-12-20,True,0.7195,0.6679,
P00149,31525615,Personnel 0149,Assistant Sub-Inspector,True,U004,urban_static,static_station,1993-06-08,2017-05-21,9.28,2023-10-27,False,0.4395,0.6205,
P00150,10284762,Personnel 0150,Constable,True,U009,training,static_station,1991-10-12,2018-01-17,8.62,2024-09-22,True,0.3855,0.6922,
P00151,50751188,Personnel 0151,Sub-Inspector,False,U015,insurgency_affected,hard_area,1993-06-29,2017-06-03,9.24,2026-03-16,True,0.8363,0.327,
P00152,13649670,Personnel 0152,Constable,True,U015,insurgency_affected,hard_area,2001-05-06,2023-08-10,3.06,2025-10-11,True,0.8363,0.4218,
P00153,62290502,Personnel 0153,Assistant Commandant,False,U005,border,static_station,1999-10-10,2023-12-12,2.72,2025-11-03,False,0.7572,0.5024,
P00154,24693237,Personnel 0154,Assistant Commandant,False,U006,border,field,1998-03-08,2023-11-29,2.76,2023-12-29,True,0.6739,0.6141,
P00155,19529315,Personnel 0155,Constable,True,U014,urban_static,field,1994-07-21,2016-09-15,9.96,2025-03-18,True,0.3566,0.4277,
P00156,91469673,Personnel 0156,Assistant Sub-Inspector,True,U010,insurgency_affected,hard_area,1999-04-25,2022-02-09,4.56,2026-05-20,True,0.8355,0.7464,
P00157,99811388,Personnel 0157,Constable,True,U006,border,hard_area,1994-03-08,2020-10-20,5.86,2026-05-20,False,0.6739,0.6261,
P00158,67618116,Personnel 0158,Constable,True,U004,urban_static,field,1993-02-13,2018-02-24,8.52,2026-01-02,True,0.4395,0.3479,training_cadre
P00159,67843761,Personnel 0159,Sub-Inspector,False,U006,border,hard_area,1995-01-19,2021-06-14,5.21,2026-07-26,True,0.6739,0.4727,
P00160,41781006,Personnel 0160,Constable,True,U011,border,hard_area,1993-02-03,2017-01-02,9.66,2026-05-08,False,0.6385,0.3501,
P00161,66519937,Personnel 0161,Constable,True,U014,urban_static,hard_area,1986-06-25,2013-01-27,13.59,2024-11-03,True,0.3566,0.3507,
P00162,84896738,Personnel 0162,Constable,True,U012,insurgency_affected,field,1990-05-10,2014-08-02,12.08,2025-09-14,True,0.7195,0.4977,
P00163,22285538,Personnel 0163,Deputy Commandant,False,U006,border,hard_area,1997-02-10,2023-05-22,3.28,2024-08-16,True,0.6739,0.6588,
P00164,69378086,Personnel 0164,Head Constable,True,U014,urban_static,field,1992-05-17,2015-02-21,11.53,2025-05-22,True,0.3566,0.4095,
P00165,81144749,Personnel 0165,Constable,True,U015,insurgency_affected,hard_area,2002-10-05,2024-03-04,2.49,2024-04-04,False,0.8363,0.5766,
P00166,12614803,Personnel 0166,Constable,True,U009,training,static_station,1996-06-14,2021-12-14,4.71,2025-04-28,False,0.3855,0.4223,
P00167,60027146,Personnel 0167,Constable,True,U010,insurgency_affected,hard_area,1993-02-01,2019-12-16,6.71,2025-01-22,True,0.8355,0.2162,
P00168,95620785,Personnel 0168,Head Constable,True,U004,urban_static,static_station,1989-12-07,2016-05-24,10.27,2024-05-08,True,0.4395,0.738,
P00169,69851738,Personnel 0169,Constable,True,U003,urban_static,field,1990-03-04,2016-06-16,10.21,2026-07-06,True,0.3722,0.4454,
P00170,13252620,Personnel 0170,Constable,True,U009,training,static_station,1987-05-08,2010-09-24,15.94,2025-09-24,True,0.3855,0.4677,
P00171,57887667,Personnel 0171,Constable,True,U012,insurgency_affected,static_station,1992-01-18,2015-11-25,10.77,2024-01-12,True,0.7195,0.3724,
P00172,22060106,Personnel 0172,Inspector,False,U012,insurgency_affected,field,2001-12-03,2024-08-22,2.03,2024-09-21,False,0.7195,0.668,
P00173,47140833,Personnel 0173,Assistant Sub-Inspector,True,U010,insurgency_affected,hard_area,1974-08-29,1999-08-04,27.08,2026-05-18,True,0.8355,0.6638,
P00174,92853150,Personnel 0174,Constable,True,U003,urban_static,static_station,1988-11-16,2014-02-14,12.54,2023-09-18,False,0.3722,0.4584,
P00175,91610778,Personnel 0175,Head Constable,True,U012,insurgency_affected,hard_area,1998-11-21,2022-04-06,4.4,2026-03-16,True,0.7195,0.5776,
P00176,16213051,Personnel 0176,Constable,True,U001,urban_static,static_station,1989-07-01,2013-09-06,12.98,2025-11-02,False,0.5535,0.4752,
P00177,41721120,Personnel 0177,Constable,True,U006,border,field,1994-06-24,2017-03-15,9.46,2023-12-07,False,0.6739,0.4363,
P00178,27748695,Personnel 0178,Assistant Commandant,False,U005,border,field,1992-03-08,2018-11-28,7.76,2024-08-02,True,0.7572,0.2755,
P00179,30379099,Personnel 0179,Sub-Inspector,False,U014,urban_static,hard_area,1999-11-13,2021-09-21,4.94,2025-01-12,True,0.3566,0.3568,
P00180,54745549,Personnel 0180,Constable,True,U010,insurgency_affected,hard_area,1990-08-26,2014-07-08,12.15,2025-10-26,True,0.8355,0.2598,
P00181,35447185,Personnel 0181,Constable,True,U010,insurgency_affected,field,1995-07-24,2020-09-05,5.99,2025-11-07,False,0.8355,0.1983,
P00182,43002759,Personnel 0182,Sub-Inspector,False,U001,urban_static,static_station,1999-12-31,2021-11-24,4.77,2025-02-09,False,0.5535,0.3032,
P00183,37382058,Personnel 0183,Constable,True,U002,insurgency_affected,field,1985-07-27,2008-02-13,18.55,2024-05-12,False,0.782,0.59,
P00184,87623409,Personnel 0184,Sub-Inspector,False,U013,border,static_station,1998-10-16,2022-11-16,3.79,2024-07-15,False,0.5538,0.235,
P00185,32163232,Personnel 0185,Head Constable,True,U003,urban_static,static_station,1995-11-29,2019-07-28,7.1,2024-09-06,False,0.3722,0.623,
P00186,96144183,Personnel 0186,Head Constable,True,U005,border,field,1999-07-14,2022-06-23,4.19,2025-07-15,False,0.7572,0.4866,planned_surge
P00187,92196738,Personnel 0187,Head Constable,True,U010,insurgency_affected,hard_area,1991-02-27,2016-06-09,10.23,2025-05-10,True,0.8355,0.453,
